sample,MX1303_C5JC4ACXX_3_TAGGAT,MX1304_C5JC4ACXX_4_CCGGTG,MX1305_C5JC4ACXX_5_TGTTGG,MX1306_C5JC4ACXX_6_GTATAG,MX1307_C5JC4ACXX_7_AGCATC,MX1307_C5JC4ACXX_7_CAGGCC,MX1310_C5JC1ACXX_4_CTCTAC,MX1310_C5JC1ACXX_4_GGAACT,MX1310_C5JC1ACXX_4_GGACGG,MX1310_C5JC1ACXX_4_TGACAT,MX1355_C6RGTANXX_2_AAGCTA,MX1355_C6RGTANXX_2_ACATCG,MX1355_C6RGTANXX_2_CAAGTT,MX1355_C6RGTANXX_2_CATTCA,MX1355_C6RGTANXX_2_GGAACT,MX1356_C6RGTANXX_3_ATGGCA,MX1356_C6RGTANXX_3_CCTTGC,MX1356_C6RGTANXX_3_CGGCCT,MX1356_C6RGTANXX_3_GCGTGG,MX1356_C6RGTANXX_3_GCTGTA,MX1356_C6RGTANXX_3_GTATAG,MX1356_C6RGTANXX_3_TAGTTG,MX1356_C6RGTANXX_3_TGACAT,MX1357_C6RGTANXX_4_AATTAT,MX1357_C6RGTANXX_4_AGTCTT,MX1357_C6RGTANXX_4_CATGGG,MX1357_C6RGTANXX_4_GCCTAA,MX1357_C6RGTANXX_4_GTAGCC,MX1357_C6RGTANXX_4_TATCGT,MX1357_C6RGTANXX_4_TCTGAG
hsa-let-7a-3p,43.026,49.513,28.438,45.977,22.12,23.407,14.7,40.781,34.335,47.784,31.072,26.668,14.378,23.953,29.676,40.521,33.935,11.311,27.973,34.672,33.158,17.133,53.418,36.274,28.732,19.227,38.88,47.153,39.458,38.078
hsa-let-7a-5p,"5,259.15","7,207.52","6,688.33","7,791.65","5,122.54","2,566.79","1,808.41","7,776.65","6,236.74","5,512.67","2,019.67","1,319.82","1,119.44","2,419.68","4,945.99","5,451.73","4,475.11",778.04,"1,758.39","3,657.44","3,703.89",784.885,"5,984.44","4,294.22","3,793.75","2,323.95","4,212.37","4,514.86","4,125.29","3,923.72"
hsa-let-7a-2-3p,0,0.193,0.034,0.051,0,0,0,0.047,0,0.056,0,0,0.187,0,0.09,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0
hsa-let-7a-5p,"5,251.66","7,197.09","6,683.37","7,782.55","5,117.13","2,563.73","1,805.90","7,766.96","6,225.49","5,503.62","2,011.13","1,311.50","1,110.85","2,409.47","4,927.25","5,439.49","4,462.76",775.983,"1,754.24","3,649.66","3,691.84",782.522,"5,969.33","4,278.73","3,780.98","2,313.28","4,191.17","4,492.29","4,114.23","3,909.80"
hsa-let-7a-3p,42.591,48.869,28.267,45.471,21.889,23.152,14.7,40.402,33.917,47.562,29.907,26.633,14.378,23.953,29.587,40.23,33.539,11.311,27.768,34.612,33.088,16.838,53.218,35.882,28.616,19.11,38.844,46.923,39.324,37.691
hsa-let-7a-5p,"5,333.97","7,269.33","6,737.43","7,854.22","5,167.78","2,596.83","1,842.72","7,829.15","6,295","5,578.94","2,028.99","1,321.62","1,114.95","2,436.26","4,970.56","5,466.02","4,513.73",784.852,"1,784.39","3,682.62","3,731.62",788.135,"6,013.14","4,315.20","3,801.86","2,335.56","4,219.32","4,507.97","4,149.11","3,958.10"
hsa-let-7b-3p,99.03,140.039,60.165,80.32,52.919,30.805,23.86,87.695,72.535,65.745,55.929,37.912,34.731,65.161,127.76,62.24,58.627,11.311,26.135,43.467,41.413,8.271,67.637,45.097,39.057,23.917,42.087,45.659,46.811,44.698
hsa-let-7b-5p,725.003,887.942,"1,801.84","1,818.02",541.475,312.39,346.284,"1,242.44",619.071,799.47,243.526,228.105,478.958,476.331,486.207,"1,105.74",472.909,97.046,189.683,"1,427.82",324.16,173.697,987.649,635.868,454.759,356.53,573.217,910.14,949.057,402.042
hsa-let-7c-3p,0.697,2.769,0.822,4.046,0.96,0.638,0.357,1.018,1.058,1.615,0,1.089,0.747,0.568,0.179,0.729,0.462,0.643,0.408,0.6,0.871,1.182,1.553,1.373,0.661,0.234,1.14,1.666,0.879,1.044
hsa-let-7c-5p,304.582,546.247,796.708,634.569,537.289,259.645,111.66,337.944,311.677,290.967,184.101,133.729,195.504,218.867,311.108,249.833,226.32,41.775,75.07,219.588,205.182,46.969,318.953,176.467,155.967,97.427,213.749,296.239,196.381,206.046
hsa-let-7d-3p,21.252,34.897,32.138,54.373,12.942,12.501,8.311,49.33,16.786,31.077,16.701,13.492,17.179,17.482,13.09,33.525,24.098,4.884,17.423,40.826,16.335,8.567,48.138,17.451,15.3,12.662,26.264,43.017,33.41,20.068
hsa-let-7d-5p,16.026,25.239,39.745,38.895,15.207,11.799,14.968,67.423,60.352,48.648,67.581,42.515,57.886,82.529,124.623,55.535,47.733,11.825,23.957,51.302,37.268,14.475,81.768,51.371,53.35,38.103,51.673,77.132,64.048,54.896
hsa-let-7e-3p,18.639,22.535,7.366,19.372,11.636,8.1,5.853,12.836,9.55,21.915,8.933,6.395,4.108,3.86,5.469,11.807,14.657,4.627,8.099,13.178,13.793,8.862,14.619,13.333,10.037,7.855,20.491,19.297,14.733,15.446
hsa-let-7e-5p,"1,181.22","1,482.41","1,172.98","1,574.43","1,046.89",491.036,768.393,"1,009.90","1,379.82","1,197.23",557.352,470.404,488.481,700.76,"1,115.60","1,232.99","1,253.87",321.987,641.055,"1,328.54","1,349.13",523.749,"1,325.17","1,277.42",759.302,656.198,"1,043.76",976.762,933.684,972.142
hsa-let-7f-1-3p,0.435,1.159,2.261,0.961,0.23,0.319,0,1.492,0.172,0.529,0.388,0.211,0,0.454,0.179,0.583,0.198,0,0.34,0.54,0.244,0.295,0.555,0.392,0.431,0.352,0.285,0.287,0.613,0.477
hsa-let-7f-5p,49.385,142.743,177.001,147.439,84.37,47.771,22.877,81.727,79.23,64.269,123.511,104.074,169.176,209.672,199.575,184.387,80.81,16.71,41.108,155.648,72.341,24.518,147.941,109.017,66.983,49.945,69.028,101.082,93.701,58.832
hsa-let-7f-2-3p,0,0,0.034,0.051,0.077,0,0.223,0.379,0.271,0.39,0.388,0.281,0,0,0.09,0,0.132,0,0,0.06,0.07,0,0.067,0.196,0.086,0,0.107,0.057,0.08,0.119
hsa-let-7f-5p,35.536,117.826,155.415,114.967,70.085,40.117,18.23,57.003,58.604,43.218,119.627,101.157,166.748,204.109,188.817,154.652,65.163,14.91,36.412,136.316,57.051,23.928,114.267,81.175,45.384,37.4,41.624,75.984,70.336,41.06
hsa-let-7g-3p,0,0,0.103,0.051,0.038,0,0.045,0.071,0,0.056,0,0.176,0,0.114,0.179,0,0,0,0,0.03,0,0,0.111,0,0,0.117,0,0,0.027,0
hsa-let-7g-5p,3.919,18.672,7.024,7.739,3.917,3.444,2.592,7.815,6.769,6.154,24.469,18.622,19.42,34.056,47.697,14.868,11.422,1.928,5.581,12.548,8.185,2.659,14.552,9.019,7.161,6.214,8.909,11.142,11.243,7.484
hsa-let-7i-3p,10.365,15.839,20.934,24.683,9.101,6.824,11.349,18.14,10.018,22.778,6.991,5.095,4.668,19.185,4.572,41.542,10.497,2.057,18.648,68.053,15.673,5.908,41.394,22.745,7.075,8.91,8.446,17.172,48.223,13.627
hsa-let-7i-5p,32.487,67.605,115.294,102.878,45.276,33.229,23.547,102.141,64.216,53.131,54.764,42.691,54.151,74.696,49.58,172.726,67.077,19.152,39.27,213.194,57.887,36.039,189.402,82.743,68.622,73.393,72.841,147.143,131.747,52.779
hsa-miR-1-3p,4.007,7.726,5.619,13.96,4.263,2.615,2.1,5.921,5.612,4.4,3.884,3.478,2.241,4.541,15.78,6.122,5.084,0.257,1.906,2.702,4.806,0.295,3.549,8.235,3.106,1.172,4.383,5.169,4.503,2.028
hsa-miR-1-5p,0,0.193,0,0.303,0.115,0.064,0,0.118,0.172,0.195,0,0.035,0.187,0,0.179,0.146,0.066,0,0.068,0.03,0.279,0,0.155,0.196,0.058,0,0.143,0,0.24,0.089
hsa-miR-1-3p,4.007,7.662,5.516,13.808,4.263,2.615,2.055,5.684,5.513,4.344,3.884,3.478,2.241,4.541,15.69,6.122,5.018,0.257,1.838,2.582,4.772,0.295,3.483,7.843,3.106,1.172,4.348,5.112,4.369,2.028
hsa-miR-100-3p,0,0,0.034,0,0,0,0,0.024,0,0,0.388,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.036,0,0,0
hsa-miR-100-5p,11.932,9.336,8.429,11.026,29.532,45.028,6.389,32.824,14.62,15.817,142.931,28.39,32.304,64.707,28.69,17.637,7.328,10.54,3.811,11.617,18.286,12.998,11.58,24.313,84.613,42.676,94.366,92.984,11.643,12.106
hsa-miR-101-3p,952.155,"2,147.77","2,285.42","1,999.20","1,552.53","1,154.15",354.327,"1,477.32","1,576.01","1,254.31",784.177,733.61,520.225,923.146,"1,374.79","3,889.47","1,290.71",300.007,474.241,"1,306.39",956.319,456.102,"1,798.85","1,694.86","1,626.86",991.977,"1,375.11","1,766.06","1,217.19","1,036.70"
hsa-miR-101-5p,22.645,58.14,61.81,43.397,40.092,30.678,12.556,54.35,51.959,45.807,10.098,9.241,7.656,9.536,19.097,24.05,13.27,2.314,4.22,11.437,9.404,4.431,12.977,17.647,17.112,10.083,13.471,16.885,12.335,12.852
hsa-miR-101-3p,982.029,"2,219.24","2,365.01","2,062.53","1,611.14","1,202.43",370.278,"1,538.56","1,645.02","1,302.18",814.083,759.47,536.47,954.25,"1,420.88","4,067.88","1,367.23",313.889,493.706,"1,390.11","1,016.12",472.349,"1,908.75","1,759.57","1,705.34","1,034.07","1,437.48","1,835.10","1,269.70","1,080.11"
hsa-miR-103a-3p,642.609,846.349,660.823,670.177,"1,471.74",983.475,215.277,967.889,719.173,519.057,"1,425.81","1,368.07",992.087,"1,833.92","1,652.10",588.872,725.506,340.111,410.06,571.019,745.704,338.236,821.962,503.518,685.934,508.709,682.586,632.739,356.263,440.061
hsa-miR-103a-2-5p,8.536,8.37,4.694,5.513,5.069,4.401,3.083,7.247,6.227,7.184,21.362,16.268,7.656,9.649,10.49,6.122,8.913,4.242,9.12,7.054,10.937,3.545,10.426,5.294,4.17,5.041,4.704,4.365,6.101,12.434
hsa-miR-103a-3p,647.051,849.632,664.9,673.97,"1,477.76",987.429,216.26,974.946,724.637,522.287,"1,431.25","1,371.79",994.514,"1,836.42","1,656.13",596.015,733.758,343.068,414.28,576.152,752.217,341.781,830.214,508.42,693.412,514.102,692.458,639.573,360.339,444.981
hsa-miR-103b,"8,832.25","8,968.21","8,919.38","7,248.73","12,004.60","8,194.60","2,752.76","12,224.70","9,569.83","6,891.62","7,159.35","7,233.05","4,860.35","9,206.26","9,162.62","7,876.46","10,838.70","4,379.80","6,194.06","7,622.39","10,156.30","4,895.42","11,245","7,060.43","8,055.66","6,344.50","7,445.58","7,741.16","5,447.61","7,114.09"
hsa-miR-103b,"8,832.25","8,968.21","8,919.38","7,248.73","12,004.60","8,194.60","2,752.76","12,224.70","9,569.83","6,891.62","7,159.35","7,233.05","4,860.35","9,206.26","9,162.62","7,876.46","10,838.60","4,379.80","6,194.06","7,622.39","10,156.30","4,895.42","11,245","7,060.43","8,055.66","6,344.50","7,445.58","7,741.16","5,447.61","7,114.09"
hsa-miR-105-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105-5p,0.087,0.193,0.103,0.253,0.077,0,0.089,0.758,0.394,0.585,1.554,2.53,1.494,0.908,1.345,0.146,0.198,0.257,0.136,0.03,0.209,0,0.111,0.196,0,0.352,0.036,0.057,0,0.388
hsa-miR-105-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105-5p,0.087,0.193,0.103,0.253,0.077,0,0.089,0.758,0.394,0.585,1.554,2.53,1.494,0.908,1.345,0.146,0.198,0.257,0.136,0.03,0.209,0,0.111,0.196,0,0.352,0.036,0.057,0,0.388
hsa-miR-106a-3p,0,0,0,0,0,0,0.045,0.024,0,0.028,0,0.035,0.187,0,0,0,0,0,0.068,0,0.035,0,0.022,0,0,0,0,0,0,0
hsa-miR-106a-5p,7.229,6.117,3.769,2.883,5.453,4.209,2.458,12.528,6.006,9.774,35.733,49.964,37.719,28.948,22.325,6.122,10.96,16.838,20.622,6.484,16.579,19.497,13.998,5.49,4.947,5.862,6.308,4.193,4.742,13.329
hsa-miR-106b-3p,0.261,0.129,0.343,0.202,0.038,0.064,0.089,0.497,0.345,0.362,1.165,1.968,3.174,1.589,1.345,0.292,0.462,0.771,0.204,0.21,0.348,0.295,0.444,0.784,0.719,0.117,0.499,0.345,0.24,0.537
hsa-miR-106b-5p,0.61,0.644,0.48,0.556,0.653,0.51,0.983,0.971,0.763,1.253,3.884,5.165,5.789,4.768,2.959,1.312,1.518,0.643,0.544,1.651,1.707,2.068,2.418,1.569,1.496,1.641,1.105,1.264,1.279,1.879
hsa-miR-107,34.926,37.601,35.085,30.247,57.796,41.393,12.958,47.27,36.428,28.375,148.368,136.364,130.523,196.844,181.823,47.081,54.137,23.522,29.946,46.769,47.542,22.155,65.707,34.509,44.32,34.586,42.301,41.926,29.2,36.766
hsa-miR-10a-3p,0,0,0.034,0,0,0.064,0,0.071,0.025,0,0,0.07,0.187,0,0,0.146,0,0,0,0.09,0.035,0,0.044,0,0.029,0,0,0.115,0.107,0.03
hsa-miR-10a-5p,20.642,18.801,7.161,11.734,7.488,43.306,4.021,13.286,7.187,5.764,42.724,49.648,76.932,74.696,53.077,9.62,11.488,4.242,8.235,8.976,9.265,5.022,14.264,2.941,6.586,4.807,6.201,8.845,9.458,8.26
hsa-miR-10b-3p,0.697,2.253,4.009,1.77,0.768,3.125,0.268,2.818,0.517,0.251,0,0.527,1.307,2.27,1.076,1.749,1.32,0,0.544,0.15,0.279,0.295,1.797,0.98,1.697,1.29,0.178,1.091,3.41,0.268
hsa-miR-10b-5p,"1,829.32","2,878.16","2,827.49","4,520.83",772.696,"8,298.69",520.945,"3,418.30",966.339,"1,114.22",965.947,"2,525","2,163.81","5,551.93","1,144.73","3,087.50","2,554.49",438.443,"1,945.29",549.345,"1,086.27",794.929,"5,618.66","1,243.70","4,701.25","2,223.95",485.408,"3,613.57","11,963",840.344
hsa-miR-1178-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1178-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1179,0.087,0.193,0.171,0.152,0.038,0.128,0.045,0.142,0.32,0.028,0,0.176,0.187,0,0.359,0,0.264,0,0.068,0.15,0.104,0,0.089,0,0.115,0.234,0.214,0,0.16,0.179
hsa-miR-1180-3p,0.348,0.193,0.137,0.405,0.038,0.383,0.045,0.355,0.246,0.557,0,0.246,0.56,0.227,0.448,0.146,0.198,0,0.476,0.18,0.174,0,0.133,0,0.058,0,0.107,0,0.133,0.03
hsa-miR-1180-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1184,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
hsa-miR-1184,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
hsa-miR-1184,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
hsa-miR-1185-1-3p,5.313,7.469,4.523,2.478,3.072,1.977,2.815,3.458,5.563,5.653,1.554,1.476,0.56,1.589,2.869,1.603,4.291,1.285,2.654,0.961,2.682,1.772,1.553,2.157,1.381,1.055,1.14,1.264,1.439,2.803
hsa-miR-1185-5p,6.794,11.01,5.825,6.828,4.455,2.36,5.764,4.997,7.605,11.974,5.826,4.146,2.988,4.541,5.021,4.664,8.385,1.8,9.12,2.612,7.906,2.068,4.548,5.686,3.394,1.993,5.773,5.054,5.861,6.918
hsa-miR-1185-2-3p,0.261,1.223,0.582,0.556,0.384,0.064,0.536,0.592,0.615,1.002,0.777,0.316,0,0.568,0.269,0.146,1.122,0.129,0.681,0.3,0.557,0.295,0.155,0.392,0.345,0.703,0.321,0.402,0.346,0.626
hsa-miR-1185-5p,6.794,11.01,5.825,6.828,4.455,2.36,5.764,4.997,7.605,11.974,5.826,4.146,2.988,4.541,5.021,4.664,8.385,1.8,9.12,2.612,7.906,2.068,4.548,5.686,3.394,1.993,5.773,5.054,5.861,6.918
hsa-miR-1193,0.087,0.064,0.034,0.152,0.077,0,0.089,0.284,0.098,0.028,0,0.07,0,0.227,0,0.146,0,0,0.136,0.06,0,0,0.111,0,0,0,0,0.057,0,0.06
hsa-miR-1197,21.165,19.702,7.332,4.552,8.794,6.761,28.998,15.441,10.904,22.416,6.214,4.919,5.228,13.85,8.517,2.624,12.016,3.599,30.899,1.921,8.986,5.022,3.993,3.725,0.777,0.938,0.927,0.861,3.97,12.285
hsa-miR-1199-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1199-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1204,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0
hsa-miR-1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1207-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1207-5p,0,0.064,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-122-3p,0,0.193,0.034,0.051,0.077,0.128,0,1.61,0,0,1.942,0.211,0,0,0,0,0,0,0,0,0.871,0.295,0.022,0,0,0,0,0,0,0
hsa-miR-122-5p,9.407,10.173,7.743,4.198,5.376,7.462,0.134,121.229,0.246,0.251,99.042,20.028,1.307,1.589,0.717,0,13.996,1.671,0.613,0.12,37.372,16.247,0.133,0.784,0.029,0.117,0.036,0.115,0.186,0.06
hsa-miR-1224-3p,0,0,0,0,0,0.064,0.045,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0
hsa-miR-1224-5p,0.435,0.386,0.24,0.253,0.154,0.064,0.045,0.355,0.025,0.306,0.388,0.176,0,0.341,0,0.437,0.198,0,0,0.21,0.07,0,0.488,0,0.029,0.117,0.107,0,0.32,0.06
hsa-miR-1225-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1225-5p,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0.03
hsa-miR-1226-3p,4.79,2.318,1.816,3.085,2.496,2.806,2.189,2.842,2.658,5.235,5.049,4.111,3.361,1.816,1.703,1.02,3.169,1.928,3.607,1.471,5.468,2.068,2.374,3.725,1.438,0.938,2.708,2.068,1.785,3.161
hsa-miR-1226-5p,0,0.064,0,0,0,0,0.045,0,0,0.028,0,0,0,0,0,0,0.066,0.257,0.068,0,0,0,0.022,0,0,0,0.036,0,0,0
hsa-miR-1227-3p,0,0,0.034,0.051,0,0.064,0.045,0.047,0.049,0.028,0,0,0,0,0,0,0.066,0,0,0.03,0,0.295,0.067,0,0,0,0,0,0.053,0
hsa-miR-1227-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1228-3p,2.874,4.056,3.186,2.731,3.303,2.487,1.653,2.131,2.831,3.954,1.554,2.495,2.614,1.135,2.331,0.583,2.377,2.057,5.717,0.931,4.249,3.249,1.331,0.98,0.345,1.29,0.428,0.632,1.359,5.218
hsa-miR-1228-5p,2.874,2.64,1.405,3.035,1.459,0.829,0.983,1.089,1.748,2.088,0,2.003,2.427,0.795,1.345,0.437,2.113,2.828,2.11,0.57,2.229,1.772,0.444,0.98,0.604,1.29,0.392,0.23,0.879,2.505
hsa-miR-1229-3p,0.087,0.064,0,0.101,0.038,0,0.045,0.024,0.049,0,0,0.035,0,0.114,0,0,0,0,0,0,0.035,0,0.022,0,0,0,0.036,0,0,0.03
hsa-miR-1229-5p,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1231,0,0.064,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1233-3p,0,0,0,0,0,0,0,0.024,0.025,0.028,0,0.035,0,0,0.09,0,0,0,0.068,0,0.035,0,0,0,0,0,0,0,0.027,0
hsa-miR-1233-5p,0,0,0,0.101,0.038,0,0,0,0,0,0,0.035,0,0,0,0.146,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0.03
hsa-miR-1233-3p,0,0,0,0,0,0,0,0.024,0.025,0.028,0,0.035,0,0,0.09,0,0,0,0.068,0,0.035,0,0,0,0,0,0,0,0.027,0
hsa-miR-1233-5p,0,0,0,0.101,0.038,0,0,0,0,0,0,0.035,0,0,0,0.146,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0.03
hsa-miR-1234-3p,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1236-3p,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1236-5p,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1237-3p,0.087,0.064,0.103,0.051,0.038,0,0.134,0.024,0.172,0.084,0.777,0.351,0.187,0.227,0,0.146,0.066,0.129,0.068,0.03,0,0,0.133,0,0.086,0,0.036,0,0.027,0.179
hsa-miR-1237-5p,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0.057,0,0
hsa-miR-1238-3p,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0.022,0,0,0,0,0,0,0.03
hsa-miR-1238-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-3p,0.087,0.258,0,0.202,0.499,0.702,0.045,0.497,0.049,12.225,4.272,1.441,0,0,0,0,2.245,0.771,0,0,1.393,0.295,0.044,0,0.058,0,0,0,0,0
hsa-miR-124-5p,0,0,0,0.051,0,0,0,0,0,0.195,0.388,0.035,0,0,0,0,0.132,0,0,0.03,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-3p,0.087,0.258,0,0.202,0.499,0.702,0.045,0.497,0.049,12.225,4.272,1.441,0,0,0,0,2.245,0.771,0,0,1.393,0.295,0.044,0,0.058,0,0,0,0,0
hsa-miR-124-5p,0,0,0,0.051,0,0,0,0,0,0.195,0.388,0.035,0,0,0,0,0.132,0,0,0.03,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-3p,0.087,0.258,0,0.202,0.499,0.702,0.045,0.497,0.049,12.225,4.272,1.441,0,0,0,0,2.245,0.771,0,0,1.393,0.295,0.044,0,0.058,0,0,0,0,0
hsa-miR-124-5p,0,0,0,0.051,0.038,0,0,0,0,0.195,0.388,0.035,0,0,0,0,0.132,0,0,0.03,0,0,0,0,0,0,0,0,0.027,0
hsa-miR-1243,0.435,0.129,0.24,0.405,0.154,0,0,0.166,0.222,0.446,0,0.176,0,0.341,0,0.146,0,0,0.544,0.03,0.139,0,0.067,0.196,0,0,0.036,0.057,0.08,0.179
hsa-miR-1244,0.087,0.129,0.034,0.051,0.077,0,0.491,0.024,0.074,0.195,0,0.07,0,0,0.09,0,0.132,0,0.204,0,0.104,0,0.111,0,0.058,0,0,0,0.16,0.089
hsa-miR-1244,0.087,0.129,0.034,0.051,0.077,0,0.491,0.024,0.074,0.195,0,0.07,0,0,0.09,0,0.132,0,0.204,0,0.104,0,0.111,0,0.058,0,0,0,0.16,0.089
hsa-miR-1244,0.087,0.129,0.034,0.051,0.077,0,0.491,0.024,0.074,0.195,0,0.07,0,0,0.09,0,0.132,0,0.204,0,0.104,0,0.111,0,0.058,0,0,0,0.16,0.089
hsa-miR-1244,0.087,0.129,0.034,0.051,0.077,0,0.491,0.024,0.074,0.195,0,0.07,0,0,0.09,0,0.132,0,0.204,0,0.104,0,0.111,0,0.058,0,0,0,0.16,0.089
hsa-miR-1245a,0.174,0.129,0.206,0.354,0.077,0.191,0.134,0.261,0.098,0.251,0,0.141,0,0.227,0.179,0,0.132,0,0.136,0,0.035,0,0.2,0,0,0.117,0.036,0.115,0.027,0.149
hsa-miR-1245b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1245b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1246,0.348,0.258,0.171,0.455,0.115,0.064,3.351,0.521,0.517,0.752,0.388,0.281,0.747,0.114,0.09,0.146,0.198,0.386,0.34,0.33,0.07,0,0.155,0,0.029,0,0.036,0,0.027,0.089
hsa-miR-1247-3p,0.61,0.515,0.445,1.214,0.461,0.446,0.402,0.332,0.64,0.446,0,0.632,0.373,0.795,0.359,0.146,0.066,0.129,0.136,0.09,0.244,0,0.333,0,0.115,0,0.499,0.287,0.186,0.298
hsa-miR-1247-5p,1.742,1.288,1.884,1.517,0.691,1.02,3.262,2.7,4.775,5.319,11.264,7.414,9.71,6.698,11.028,2.332,5.612,1.928,4.968,1.861,3.03,0.886,3.616,1.373,1.179,0,2.993,1.321,2.691,3.399
hsa-miR-1248,1.394,0.901,0.582,1.821,0.307,0.128,18.23,0.71,7.409,2.2,2.719,0.422,0.187,1.589,3.497,6.705,15.119,2.828,4.356,9.726,4.249,1.477,5.302,7.451,10.411,6.097,4.847,4.48,7.167,5.934
hsa-miR-1249-3p,0,0,0.069,0,0.038,0,0,0.024,0.074,0.056,0,0,0,0.114,0,0,0.066,0,0.204,0.03,0.035,0,0,0,0,0.117,0,0,0,0.03
